url,jurisdiction,case_id,title,decision_year,nace_code,nace_label,companies,legal_basis,companies_normalized,docx_path
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2013/B03-11-13.pdf;jsessionid=0713801B294939C723A9AAD680CF025B.1_cid387?__blob=publicationFile&v=6,German,B03-11-13,Bundeskartellamt Opens Cross-State Competition for Ophthalmologists,2013,Q,Human Health and Social Work Activities,"[""Augen\u00e4rztegenossenschaft Brandenburg"", ""AOK Nordost \u2013 Die Gesundheitskasse""]",Art. 101 TFEU,"[""augenarztegenossenschaft brandenburg"", ""aok nordost – die gesundheitskasse""]",B03-11-13.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2013/B05-144-13.pdf;jsessionid=7B36EF72C6AFBA82E33543B0A26931A0.1_cid371?__blob=publicationFile&v=3,German,B05-144-13,Bundeskartellamt Obtains Change of Dealer Discount System at GARDENA,2013,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""GARDENA""]",Art. 101 TFEU,"[""gardena""]",B05-144-13.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2023/B1-100-23.pdf?__blob=publicationFile&v=1,German,B1-100-23,Approval of the Acquisition of Control over neuform-TÃ¼renwerk Hans Glock GmbH & Co. KG by the HÃ¶rmann Group,2023,C,Manufacturing,"[""neuform-T\u00fcrenwerk Hans Glock GmbH & Co. KG"", ""H\u00f6rmann Gruppe"", ""Sch\u00f6rghuber"", ""LEBO"", ""Huga""]",Merger,"[""neuform-turenwerk hans glock"", ""hormann"", ""schorghuber"", ""lebo"", ""huga""]",B1-100-23.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Fusionskontrolle/2022/B1-137-21.pdf;jsessionid=11DA2099D7CBA50802E2A6CC72464FF2.1_cid390?__blob=publicationFile&v=2,German,B1-137-21,Merger Control Procedure ACO Ahlmann SE & Co. KG and BIRCO GmbH,2022,C,Manufacturing,"[""ACO Ahlmann SE & Co. KG"", ""FW Holding GmbH"", ""BIRCO GmbH"", ""MEA Group GmbH""]",Merger,"[""aco ahlmann"", ""fw"", ""birco"", ""mea""]",B1-137-21.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2021/B1-148-21.pdf?__blob=publicationFile&v=5,German,B1-148-21,Approval of the Acquisition of All Shares in and Sole Control over GABLE Holding GmbH and MeGa Grundbesitz GmbH by STARK Deutschland GmbH,2021,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""GABLE Holding GmbH"", ""MeGa Grundbesitz GmbH"", ""STARK Deutschland GmbH"", ""Melle Gallh\u00f6fer Dach GmbH"", ""CVC Capital Partners SICAV-FIS S.A."", ""Raab Karcher"", ""Kluwe"", ""D\u00e4mmisol"", ""Raab Karcher Handwerkerfachmarkt"", ""Saxonia"", ""Sporkenbach"", ""Balzer""]",Merger,"[""gable"", ""mega grundbesitz"", ""stark"", ""melle gallhofer dach"", ""cvc capital partners sicav-fis"", ""raab karcher"", ""kluwe"", ""dammisol"", ""raab karcher handwerkerfachmarkt"", ""saxonia"", ""sporkenbach"", ""balzer""]",B1-148-21.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Fusionskontrolle/2016/B1-150-16.pdf;jsessionid=B45633603E42E33E6F308C181116C8CE.2_cid378?__blob=publicationFile&v=2,German,B1-150-16,Merger of Iluka Investments (BVI) Limited and Sierra Rutile Limited,2016,B,Mining and Quarrying,"[""Iluka Investments (BVI) Limited"", ""Sierra Rutile Limited""]",Merger,"[""iluka investments (bvi)"", ""sierra rutile""]",B1-150-16.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2016/B1-150-16.pdf;jsessionid=C0410C1E6F8C0B52FEC448B9C3F33C8C.1_cid362?__blob=publicationFile&v=2,German,B1-150-16,Merger of Iluka Investments (BVI) Limited and Sierra Rutile Limited,2016,B,Mining and Quarrying,"[""Iluka Investments (BVI) Limited"", ""Sierra Rutile Limited""]",Merger,"[""iluka investments (bvi)"", ""sierra rutile""]",B1-150-16.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Fusionskontrolle/2016/B1-150-16.pdf;jsessionid=B45633603E42E33E6F308C181116C8CE.2_cid378?__blob=publicationFile&v=2,German,B1-150-16,Merger of Sierra Rutile Ltd. by Iluka Resources Ltd.,2016,B,Mining and Quarrying,"[""Sierra Rutile Ltd."", ""Iluka Resources Ltd.""]",Merger,"[""sierra rutile"", ""iluka resources""]",B1-150-16.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2016/B1-150-16.pdf;jsessionid=C0410C1E6F8C0B52FEC448B9C3F33C8C.1_cid362?__blob=publicationFile&v=2,German,B1-150-16,Merger of Sierra Rutile Ltd. by Iluka Resources Ltd.,2016,B,Mining and Quarrying,"[""Sierra Rutile Ltd."", ""Iluka Resources Ltd.""]",Merger,"[""sierra rutile"", ""iluka resources""]",B1-150-16.docx
http://www.bundeskartellamt.de:80/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2017/B1-164-13_B1-167-13_B1-87-14_B1-47-15.pdf;jsessionid=16A797222630432D5AAAB37995EBA4A8.2_cid387?__blob=publicationFile&v=4,German,B1-164-13_B1-167-13_B1-87-14_B1-47-15,Fines for Vertical Price Fixing in the Furniture Distribution Sector,2017,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""h\u00fclsta-werke H\u00fcls GmbH & Co. KG"", ""Rolf Benz AG & Co. KG"", ""Heinz Kettler GmbH"", ""aeris GmbH"", ""Zebra Nord GmbH""]",Art. 101 TFEU,"[""hulsta-werke huls"", ""rolf benz"", ""heinz kettler"", ""aeris"", ""zebra nord""]",B1-164-13_B1-167-13_B1-87-14_B1-47-15.docx
